Text,Size
Water,24
Flow,20
Soil,19
Hillslope,15
Channel,14
Moisture,12
Drainage,11
Subsurface,11
Slope,11
Features,9
Permafrost,9
Downslope,9
Zone,9
Linear,8
Vegetated,6
Drain,6
Down,6
Enhanced,6
Pathways,6
High,6
Bands,5
Narrow,5
Surface,4
Small,4
Intermittent,4
Areas,4
Curvilinear,4
Zeroorder,4
Geomorphic,4
Valley,4
Bottom,4
Arctic,4
Region,4
Shallow,4
Snow,4
Meltwater,4
Route,4
Wide,3
Paths,3
Upland,3
Depressions,3
Hydrologic,3
Stream,3
Width,3
Directly,3
Best,3
Detected,3
Change,3
Surrounding,3
Defined,3
Spaced,3
Develop,3
Common,3
Preferential,3
Transport,3
Active,3
Layer,3
Conduct,3
During,3
Thaw,3
Season,3
Topography,3
Through,3
Hollows,3
Cm,2
Tundra,2
Concentrate,2
Zero,2
Order,2
Landscape,2
Carry,2
Usually,2
Several,2
Meter,2
Run,2
Poorly,2
Frozen,2
Ground,2
Parallel,2
Branching,2
Immature,2
Characteristic,2
Saturated,2
Stripes,2
Act,2
Giving,2
Ribbed,2
Appearance,2
Overland,2
Polar,2
Ice,2
Dominated,2
Table,2
Large,2
Absence,2
Nutrient,2
Shaped,2
Forms,2
Relief,2
Network,2
Distinct,1
Lower,1
Adjacent,1
Ways,1
Midslope,1
Streak,1
Periglacial,1
Transmit,1
Larger,1
Rivers,1
Downstream,1
Contain,1
Perennial,1
Flowpaths,1
Connect,1
Lakes,1
Intersected,1
Irregular,1
Intervals,1
Portion,1
Feed,1
Permanent,1
Course,1
Overlying,1
Convey,1
Perpendicular,1
Elevation,1
Contours,1
Oriented,1
Apart,1
Function,1
Shorten,1
Response,1
Time,1
Precipitation,1
Events,1
Funnel,1
Substantial,1
FLows,1
Subtle,1
Topographic,1
Lows,1
Within,1
Temporary,1
Lightly,1
Incised,1
Show,1
Little,1
Controlled,1
Throughout,1
Unchannelized,1
Range,1
Biophysical,1
Context,1
Local,1
Climate,1
Surficial,1
Geology,1
Shrubby,1
Corridors,1
Along,1
Interconnected,1
Deepening,1
Partly,1
Directed,1
Firstorder,1
Confined,1
Due,1
Underlying,1
Continuous,1
Impervious,1
Boundary,1
Horsetail,1
Without,1
Visibly,1
Damp,1
Dark,1
Grow,1
Each,1
Summer,1
Release,1
Glaciers,1
Underground,1
Liquid,1
Top,1
Above,1
Occurring,1
Well,1
Much,1
Flux,1
Important,1
Solute,1
Lineation,1
Near,1
Groundwater,1
Diverse,1
Morphology,1
Whose,1
Principal,1
Role,1
Snowmelt,1
Sometimes,1
Rainfall,1
Variety,1
Actual,1
Landforms,1
Representing,1
Alignment,1
Compartment,1
Productivity,1
Resulting,1
Associated,1
Increases,1
Temperature,1
Availability,1
Driven,1
Variability,1
Depth,1
Grass,1
Covered,1
Suprapermafrost,1
Bends,1
Weakly,1
Reflected,1
Runoff,1
Negative,1
Trough,1
Transverse,1
Profile,1
Fuzzy,1
Structural,1
Lines,1
Obey,1
Fractal,1
Patterns,1
Similarity,1
Tree,1
Erosion,1
Second,1
Limited,1
Close,1
Occurrence,1
Aquifer,1